Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,0.137,-0.004,-0.041,0.140,0.258,-0.056,0.110,0.691,0.606,0.164,-0.259,0.105,-0.023,0.207,0.528,0.083,0.481,-0.346,0.496,0.286,-0.123,0.258,0.436,0.418,0.304,0.738,0.859,0.667,0.339,0.469
China,0.837,0.424,0.169,0.201,0.801,0.519,0.237,0.695,1.383,1.158,0.557,0.936,1.155,0.902,1.144,0.884,1.372,1.608,1.047,1.232,0.983,0.768,0.545,1.210,0.984,1.425,1.442,1.454,1.269,1.478
"China, Hong Kong SAR",0.425,0.679,-0.157,0.097,0.535,-0.181,0.121,0.296,1.021,0.772,0.490,0.727,0.970,0.924,0.826,0.624,1.052,1.176,0.334,0.923,0.551,0.331,0.680,0.717,0.769,1.419,0.987,1.267,1.287,1.895
"China, Macao SAR",0.425,0.679,-0.157,0.097,0.535,-0.181,0.121,0.296,1.021,0.772,0.490,0.727,0.970,0.924,0.826,0.624,1.052,1.176,0.334,0.923,0.551,0.331,0.680,0.717,0.769,1.419,0.987,1.267,1.287,1.895
"China, mainland",0.839,0.423,0.169,0.201,0.802,0.522,0.238,0.697,1.383,1.160,0.557,0.937,1.156,0.903,1.146,0.886,1.374,1.611,1.050,1.234,0.984,0.771,0.545,1.212,0.985,1.427,1.444,1.456,1.270,1.479
"China, Taiwan Province of",0.472,0.621,-0.028,0.257,0.602,-0.053,0.117,0.250,1.288,0.595,0.612,0.666,0.969,0.786,0.550,0.442,0.877,0.877,0.508,0.697,0.521,-0.001,0.415,0.575,0.652,0.833,1.032,1.086,1.138,1.213
Christmas Island,0.569,0.240,0.338,0.357,0.066,0.323,0.595,0.127,0.788,0.140,0.109,0.431,0.682,0.649,0.457,1.011,0.291,0.530,0.147,0.366,0.850,0.229,0.484,1.010,0.911,0.998,1.244,0.602,0.214,0.723
Cocos (Keeling) Islands,0.333,0.340,0.164,0.199,-0.031,0.359,0.622,0.386,1.192,1.110,0.275,0.164,0.708,0.447,0.359,0.635,0.329,0.560,0.448,0.596,0.967,0.589,0.784,0.875,0.884,0.964,0.951,0.430,0.501,0.772
Colombia,0.308,0.466,0.578,0.248,0.248,0.520,0.133,0.666,0.855,-0.014,0.034,0.484,0.737,0.740,0.646,0.735,0.631,0.635,0.441,0.992,0.931,0.585,0.724,0.821,0.838,1.288,0.984,0.821,1.086,1.387
Comoros,0.282,0.315,0.231,0.347,0.669,0.579,0.079,0.444,0.877,0.246,0.502,0.590,0.969,0.644,0.550,0.702,0.500,0.826,0.632,0.983,1.108,0.862,0.764,1.029,1.162,1.391,1.316,1.558,1.370,1.929
